단축코드,표준코드,한글종목명,상장일자,현재가,상장주수,시장구분,상한가,상한가2,하한가,전일종가,시가,고가,저가,종가,누적거래량,기준가,52주최저가,52주최고가,52주최고가일,52주최고대비율,52주최저가일,52주최저대비율,w52저가
191600,KR7191600006,블루탑                                  S,0194NNN,23100000,01020241,0,0014-0000,00000013-,00000004-,000004500,0 N 0,400012,000142946,800000000,6080500000000000285,000500201,232000000,000000000,0100N090,0NNN00000,0001NNN0,800000010,T000006
199150,KR7199150004,데이터스트림즈                          S,0075NNN,23100000,00020251,0,000300000,000000030,000000040,000002070,0 N 0,650012,000213430,800000000,4062500000000000426,000500201,075000000,000000000,0100N090,0NNN00000,0001NNN0,769000010,T000001
199290,KR7199290008,바이오프로테크                          S,0066NNN,23100000,00020251,0,000000000,000000000,000000230,000003420,0 N 0,600012,000816259,500000000,6120800000000001632,000500201,299000000,000000001,0100N090,0NNN00000,0001NNN0,409000010,T000000
200580,KR7200580009,메디쎄이                                S,0460NNN,23100000,00020251,0,003300000,000000360,000000400,000002830,0 N 0,950012,000186303,600000000,5102000000000000372,000500201,042000000,000000000,0100N090,0NNN00000,0001NNN0,370000010,T000012
202960,KR7202960001,판도라티비                              S,0064NNN,23100000,00020251,0,000900000,000000100,000000170,000001410,0 N 0,100012,000595779,500000000,4081100000000001191,000500201,287000000,000000002,0100N090,0NNN00000,0001NNN0,545000010,T000000
206950,KR7206950008,볼빅                                    S,0264NNN,23100000,00020241,0,001700000,00000017-,00000017-,00000465-,0 N 0,250012,000703863,700000000,5123000000000001407,000500201,005000000,000000010,0100N090,0NNN00000,0001NNN0,880000010,T000001
207490,KR7207490004,에이펙스인텍                            S,0237NNN,23100000,00020241,0,000000000,000000000,000000000,000000000,0 N 0,000012,000180000,000000000,8112800000000000360,000500201,000000000,000000000,0100N090,0NNN00000,0001NNN0,600000010,T000006
208850,KR7208850008,이비테크                                S,0146NNN,23100000,01320241,0,001700000,000000180,000000150,000001070,0 N 0,000012,000282025,000000000,6062200000000000282,001000201,000000000,000000000,0100N090,0NNN00000,0001NNN0,200000010,T000005
208890,KR7208890004,미래엔에듀파트너                        S,0036NNN,23100000,00020251,0,000200000,000000020,000000030,000002220,0 N 0,000012,000400552,500000000,4121800000000000400,001000201,000000000,000000000,0100N090,0NNN00000,0001NNN0,900000010,T000000
212310,KR7212310007,오건에코텍                              S,0075NNN,23100000,00020241,0,006600000,00000066-,00000058-,00000232-,0 N 0,750012,000591705,400000000,6072600000000001183,000500201,000000000,000000000,0100N090,0NNN00000,0001YNN0,635000010,T000000
215570,KR7215570003,크로넥스                                S,0060NNN,23100000,09420241,0,0017-0000,00000017-,00000010-,00000045-,0 N 0,200012,000311622,200000000,5122800000000000623,000500201,353000000,000000002,0100N090,0NNN00000,0001NNN0,964000010,T000000
216400,KR7216400002,인바이츠바이오코아                      S,0229NNN,23100000,00020251,0,008300000,00000079-,00000002-,000001660,0 N 0,750012,000385565,100000000,5062900000000000771,000500201,001000000,000000000,0100N090,0NNN00000,0001NNN0,975000010,T000002
217320,KR7217320001,썬테크                                  S,0147NNN,23100000,00020241,0,000900000,00000009-,00000005-,00000257-,0 N 0,000012,000052500,000000000,5042900000000000105,000500201,031000000,000000000,0100N090,2NNN00000,0001NNN0,000000010,T000014
217880,KR7217880004,틸론                                    S,0118NNN,23100000,00020241,0,002900000,00000043-,00000003-,00000077-,0 N 0,500012,000536364,700000000,5052800000000001072,000500201,125000000,000000016,0100N090,0NNN00000,0001NNN0,101000010,T000001
217910,KR7217910009,에스제이켐                              S,0044NNN,23100000,07720241,0,0026-0000,00000026-,00000019-,00000132-,0 N 0,220012,000139905,000000000,8042700000000001399,000100201,496000000,000000000,0100N090,0NNN00000,0001NNN0,315000010,T000000
217950,KR7217950005,파마리서치바이오                        S,1378NNN,23100000,02620241,0,010200000,000000950,000000870,000002610,0 N 0,000012,000209162,300000000,5110500000000000418,000500201,674000000,000000000,0100N090,0NNN00000,0001NNN0,950000010,T000032
222670,KR7222670002,플럼라인생명과학                        S,0186NNN,23100000,00020241,0,0038-3610,00000038-,00000031-,00000000-,0 N 0,600012,000201646,200000000,5072800000000000403,000500201,000000000,000000000,0100N090,0NNN00000,0001YNN0,635000010,T000004
223220,KR7223220005,로지스몬                                S,0039NNN,23100000,00020241,0,000000000,000000000,000000000,000000000,0 N 0,190012,000057029,200000000,5070900000000000570,000100201,695000000,000000019,0100N090,0NNN00000,0001NNN0,696000010,T000000
224760,KR7224760009,엔에스컴퍼니                            S,0099NNN,23100000,00820241,0,002900000,000000350,000000050,000007140,0 N 0,000012,000196985,900000000,5073100000000000393,000500201,007000000,000000000,0100N090,0NNN00000,0001NNN0,515000010,T000002
224810,KR7224810002,엄지하우스                              S,0062NNN,23100000,03420241,0,0034-0000,00000032-,00000013-,000008150,0 N 0,000012,000210000,000000000,5102100000000000420,000500201,445000000,000000002,0100N090,0NNN00000,0001NNN0,496000010,T000001
227420,KR7227420007,도부                                    S,0341NNN,23100000,00020251,0,000200000,00000005-,00000002-,00000165-,0 N 0,500012,001902225,400000000,6122800000000003804,000500201,021000000,000000000,0100N090,0NNN00000,0001NNN0,897000010,T000000
229500,KR7229500004,노브메타파마                            S,1114NNN,23100000,00020241,0,000000000,000000000,000000000,000000000,0 N 0,700012,000642077,100000000,5102800000000001284,000500201,479000000,000000000,0100N090,0NNN00000,0001NNN0,680000010,T000008
232530,KR7232530006,이엠티                                  S,3135NNN,23100000,00020241,0,0019-3610,00000019-,00000010-,00000098-,0 N 0,200003,001280715,400000000,5123000000000002561,000500201,005000000,000000008,0100N090,0NNN00000,0001NNN0,240000010,T000012
233250,KR7233250000,메디안디노스틱                          S,0143NNN,23100000,00020241,0,001200000,000000080,000000040,000001220,0 N 0,700012,000108376,600000000,7062600000000000174,000500201,006000000,000000000,0100N090,0NNN00000,0001NNN0,200000010,T000008
233990,KR7233990001,질경이                                  S,0254NNN,23100000,00020251,0,003500000,000000240,000000250,000001300,0 N 0,340012,000161285,800000000,5122900000000001612,000100201,999000000,000000001,0100N090,0NNN00000,0001NNN0,579000010,T000001
234070,KR7234070001,에이원큐브텍                            S,0064NNN,23100000,03620241,0,0152-0000,00000149-,00000111-,00000196-,0 N 0,150012,000348035,000000000,5122100000000000696,000500201,001000000,000000000,0100N090,0NNN00000,0001NNN0,928000010,T000000
236030,KR7236030003,씨알푸드                                S,0073NNN,23100000,09720241,0,0011-0000,00000011-,00000006-,00000178-,0 N 0,600012,000101666,300000000,7121400000000000203,000500201,002000000,000000000,0100N090,0NNN00000,0001NNN0,600000010,T000003
236340,KR7236340006,메디젠휴먼케어                          S,0096NNN,23100000,00020241,0,0027-3610,00000027-,00000012-,00000039-,0 N 0,350012,000150732,400000000,6012600000000000301,000500201,005000000,000000000,0100N090,2NNN00000,0001NNN0,200000010,T000003
238500,KR7238500003,솔루믹스                                S,0098NNN,23100000,00020251,0,002000000,00000017-,00000006-,00000132-,0 N 0,200012,001040365,700000000,6042000000000002080,000500201,000000000,000000000,0100N090,0NNN00000,0001YNN0,475000010,T000000
243870,KR7243870003,아이티센코어                            S,0288NNN,23100000,02620241,0,0067-0000,00000085-,00000004-,000002790,0 N 0,550012,000144631,200000000,6103100000000000289,000500201,242000000,000000003,0100N090,0NNN00000,0001NNN0,990000010,T000009
244880,KR7244880001,나눔테크                                S,0095NNN,23100000,00020241,0,000000000,000000000,000000000,000000000,0 N 0,000012,000251000,000000000,6060100000000000502,000500201,251000000,000000000,0100N090,0NNN00000,0001NNN0,900000010,T000001
245450,KR7245450002,씨앤에스링크                            S,0026NNN,23100000,01520241,0,000400000,000000040,000000070,000001730,0 N 0,000012,000078998,900000000,6062400000000000157,000500201,022000000,000000000,0100N090,0NNN00000,0001NNN0,696000010,T000001
250030,KR7250030004,진코스텍                                S,0644NNN,93000000,00020250,0,000000000,000000000,000000000,000000000,0 N 0,650012,000144596,100000000,9112900000000000289,000500201,120000000,000000017,0100N090,0NNN00000,0001NNN0,300000010,T000022
251280,KR7251280004,안지오랩                                S,0068NNN,23100000,05020241,0,0008-0000,00000008-,00000008-,00000020-,0 N 0,500012,000174593,100000000,6102500000000000349,000500201,003000000,000000000,0100N090,0NNN00000,0001NNN0,950000010,T000001
253610,KR7253610000,루트락                                  S,0104NNN,23100000,00020241,0,000000000,000000000,000000000,000000000,0 N 0,550012,000512903,800000000,0122400000000001025,000500202,103000000,000000000,0100N090,0NNN00000,0001NNN0,018000010,T000001
254160,KR7254160005,제이엠멀티                              S,0174NNN,23100000,00020241,0,000100000,000000040,000000120,000002730,0 N 0,000012,000258000,000000000,1121300000000000516,000500202,372000000,000000000,0100N090,0NNN00000,0001NNN0,385000010,T000003
