구분코드,심볼,영문명,한글명,종목업종코드,다우30편입여부,나스닥100편입여부,SP500편입여부,거래소코드,국가구분코드
W,ATX       ,ATX,오스트리아 ATX,    , , , ,VIE ,317
W,AUD#XAO   ,Australia All Ordinaries,호주 AOI,    , , , ,AUSE,106
W,BEL#BEL   ,BEL-20,벨기에 BEL-20,    , , , ,EADQ,309
W,BR#BOVE   ,Bovespa,브라질 BOVESPA,    , , , ,RJSE,504
W,CAN#COM   ,CAD,캐나다 S&P/TSX,    , , , ,TTSE,502
W,CH#000300 ,CSI300 INDEX,CSI 300,    , , , ,SHSE,104
W,CH#000905 ,CSI500 INDEX,CSI 500,    , , , ,SHSE,104
W,CH#000906 ,CSI800 INDEX,CSI 800,    , , , ,SHSE,104
W,CH#SHA    ,ShanghaiAShare,상해A지수,    , , , ,SHSE,104
W,CH#SHB    ,ShanghaiBShare,상해B지수,    , , , ,SHSE,104
W,CH#SZA    ,ShenzhenAShare,심천A지수,    , , , ,SZSE,104
W,CH#SZB    ,ShenzhenBShare,심천B지수,    , , , ,SZSE,104
W,CL#IGPA   ,IPSA,칠레 IPSA,    , , , ,SISE,506
W,CZ#399101 ,SME COMP INX,심천 중소기업 지수,    , , , ,SZSE,104
W,CZ#399102 ,CHINEXT COMPOSITE,심천 ChiNext 지수,    , , , ,SZSE,104
W,DEN#KFX   ,KFX,덴마크 코펜하겐 20,    , , , ,CPSE,310
W,FR#CAC    ,Paris CAC 40,프랑스 CAC 40,    , , , ,PRSE,302
W,GB#FTSE   ,FTSE 100,영국지수,    , , , ,FTSE,301
W,GR#ASE    ,General Shares,그리스 ASE,    , , , ,ATSE,311
W,GR#DAX    ,Frankfurt Dax,독일 DAX 30,    , , , ,FSE ,303
W,HK#HS     ,Hang Seng,항셍지수,    , , , ,SEHK,102
W,HK#HSSI   ,Hang Seng Composite SmallCap Index,항셍 종합 소형주,    , , , ,SEHK,102
W,HSCE      ,HangSengChinaEnterprise,홍콩H지수,    , , , ,SEHK,102
W,ID#JK     ,Jakarta Composite,인도네시아 종합,    , , , ,JKSE,107
W,IN#BOMBAY ,BSE 30,인도 SENSEX,    , , , ,BMSE,111
W,JP#NI225  ,Nikkei Index,일본니케이 225지수,    , , , ,NIK ,101
W,KOSPI     ,KOSPI,한국코스피지수,    , , , ,KSE ,100
W,MERV      ,MerVal,아르헨티나 MERVAL,    , , , ,BASE,505
W,MY#KLSE   ,Kuala Lumpur Composite,말레이시아 KLCI,    , , , ,KLSE,110
W,NL#AEX    ,Netherlands(AEXGeneral),네덜란드 AEX,    , , , ,AMSE,305
W,NZ#NZSE   ,NZ Top 50 Cap,뉴질랜드 NZ50,    , , , ,NZSE,202
W,PH#MANILA ,PSE Composite,필리핀 PSEi Composite,    , , , ,PLSE,109
W,POL#WIG   ,WIG,폴란드 WIG,    , , , ,WSSE,   
W,PT#PSI    ,Portuguese Stock Index 20,포르투갈PSI 20,    , , , ,LBSE,308
W,SHANG     ,Shanghai Composite,중국상해종합지수,    , , , ,SHSE,104
W,SPN#IBEX  ,IBEX-35,스페인 IBEX-35,    , , , ,BRSE,307
W,SW#SM     ,Swiss Market,스위스 SMI,    , , , ,SWSE,306
W,SX5E      ,IND DJ EURO STOXX 50 Pr,유로STOXX50,    , , , ,STOX,303
W,SX7E      ,EURO STOXX BANKS,유로STOXX BANKS,    , , , ,STOX,303
W,SXAXPI    ,Stockholm General,스웨덴 OMX Stockholm,    , , , ,STSE,316
W,TH#BANG   ,Thailand SET,태국 SET,    , , , ,SETL,108
W,TR#IMKB   ,IMKB-100,터키 ISE100,    , , , ,ITSE,   
W,TW#WT     ,Taiwan Weighted,대만가권,    , , , ,TWSE,103
W,VEB       ,Venezuelan Bolivar VEB,베네주엘라 카라카스,    , , , ,CASE,508
W,VN#VNI    ,HO CHI MINH STOCK INDEX,베트남 호치민,    , , , ,VNSE,114
P,.DJI      ,DOW JONES INDUSTRIAL AVERAGE INDEX,다우존스 산업지수,    , , , ,DOWJ,501
P,.DJINET   ,DOW JONES COMPOSITE INTERNET INDEX,다우존스 인터넷,    , , , ,DOWJ,501
P,.DJT      ,DOW JONES TRANSPORTATION INDEX,다우존스 운송지수,    , , , ,DOWJ,501
P,.DJU      ,DOW JONES UTILITIES INDEX,다우존스 유틸리티,    , , , ,DOWJ,501
P,BANK      ,NASDAQ Bank,나스닥 은행,    ,0,0,0,NASD,501
P,COMP      ,NASDAQ Composite,나스닥 종합,    ,0,0,0,NASD,501
P,DJC       ,BBG Commodity Index,다우존스 UBS 상품지수,    , , , ,DOWJ,501
P,DJGT      ,DOW JONES GLOBAL TITANS INDEX(USD),GLOBAL TITANS INDEX(USD),    , , , ,DOWJ,501
P,DJR       ,DOW JONES EQUITY REIT INDEX,다우존스 부동산신탁,    , , , ,DOWJ,501
P,DJTATO    ,DOW JONES TITANS  AUTOMOBILES INDEX,World-자동차,    , , , ,DOWJ,501
P,DJTBAK    ,DOW JONES TITANS BANKS INDEX,World-은행,    , , , ,DOWJ,501
P,DJTBAS    ,DOW JONES TITANS BASIC RESOURCES INDEX,World-기초산업,    , , , ,DOWJ,501
P,DJTCGS    ,Dow Jones Travel & Leisure,World-여행레저,    , , , ,DOWJ,501
P,DJTCHE    ,DOW JONES TITANS CHEMICALS INDEX,World-화학제품,    , , , ,DOWJ,501
P,DJTCNS    ,DOW JONES TITANS CONSTRUCTION INDEX,World-건설,    , , , ,DOWJ,501
P,DJTENG    ,Dow Jones Oil & Gas,World-석유가스,    , , , ,DOWJ,501
P,DJTFOB    ,DOW JONES TITANS  FOOD & BEVERAGE INDEX,World-음식료,    , , , ,DOWJ,501
P,DJTFVS    ,DOW JONES TITANS  FINANCIAL SERVICES,World-금융,    , , , ,DOWJ,501
P,DJTHCA    ,DOW JONES TITANS HEALTHCARE INDEX,TITANS HEALTHCARE INDEX,    , , , ,DOWJ,501
P,DJTIGS    ,DOW JONES TITANS  INDUSTRIAL GOODS,World-제조업,    , , , ,DOWJ,501
P,DJTINN    ,DOW JONES TITANS  INSURANCE INDEX,World-보험,    , , , ,DOWJ,501
P,DJTMDI    ,DOW JONES TITANS  MEDIA INDEX,World-미디어,    , , , ,DOWJ,501
P,DJTNCG    ,DOW JONES TITANS  NON-CYCLICAL GOODS &,World-비순환상품서비스,    , , , ,DOWJ,501
P,DJTRET    ,DOW JONES TITANS  RETAIL INDEX,World-소매,    , , , ,DOWJ,501
P,DJTTEL    ,DOW JONES TITANS  TELECOMMUNICATIONS IN,World-통신,    , , , ,DOWJ,501
P,DJTTHE    ,DOW JONES TITANS  TECHNOLOGY INDEX,World-테크놀러지,    , , , ,DOWJ,501
P,DJUSAP    ,DOW JONES US AUTOMOBILES INDEX,다우존스 자동차제조,    , , , ,DOWJ,501
P,DJUSAT    ,DOW JONES US AUTO PARTS INDEX,다우존스 자동차부품,AUP , , , ,DOWJ,501
P,DJUSAV    ,DOW JONES US ADVERTISING INDEX,다우존스 광고미디어,ADV , , , ,DOWJ,501
P,DJUSBC    ,DOW JONES US BROADCASTING INDEX,다우존스 방송,BRD , , , ,DOWJ,501
P,DJUSCA    ,DOW JONES US CASINOS INDEX,다우존스 카지노,CNO , , , ,DOWJ,501
P,DJUSCH    ,DOW JONES US CHEMICALS INDEX,다우존스 화학,    , , , ,DOWJ,501
P,DJUSCN    ,DOW JONES US CONSTRUCTION AND MATERIALS,다우존스 건설,    , , , ,DOWJ,501
P,DJUSDB    ,DOW JONES US DISTILLER & BREWER INDEX,다우존스 주류,DST , , , ,DOWJ,501
P,DJUSEC    ,DOW JONES US ELECT CMPTS & EQUIP INDEX,다우존스 전자부품,ELQ , , , ,DOWJ,501
P,DJUSFB    ,DOW JONES US FOOD & BEVERAGE INDEX,다우존스 음식료,    , , , ,DOWJ,501
P,DJUSFC    ,DOW JONES US FIXED LINE COMMUNICATION I,다우존스 유선통신,FTS , , , ,DOWJ,501
P,DJUSHR    ,DOW JONES US HVY MACHINERY INDEX,다우존스 중장비,MAC , , , ,DOWJ,501
P,DJUSLG    ,DOW JONES US LODGING,다우존스 호텔숙박,LOD , , , ,DOWJ,501
P,DJUSMT    ,DOW JONES US MARINE TRANSPORT INDEX,다우존스 해상운송,MAR , , , ,DOWJ,501
P,DJUSNF    ,DOW JONES US NON FERROUS METALS INDEX,다우존스 비철금속,ONF , , , ,DOWJ,501
P,DJUSPB    ,DOW JONES US PUBLISHING INDEX,다우존스 출판,PUB , , , ,DOWJ,501
P,DJUSST    ,DOW JONES US STEEL INDEX,다우존스 철강,STL , , , ,DOWJ,501
P,DJUSTK    ,DOW JONES US TRUCKING INDEX,다우존스 육상운송,TRK , , , ,DOWJ,501
P,DJUSTR    ,DOW JONES US TIRES INDEX,다우존스 타이어,TIR , , , ,DOWJ,501
P,DJUSWC    ,DOW JONES US WIRELESS COMM INDEX,다우존스 무선통신,CTS , , , ,DOWJ,501
P,DRG       ,Amex Pharmaceutical Index,아멕스 제약 지수,    , , , ,AMEX,501
P,E1DOW     ,DOW JONES EUROPE STOCK INDEX,DJ Europe,    , , , ,DOWJ,501
P,E2DOW     ,DOW JONES EUROPE STOCK (EX UK) INDEX,DJ Europe (ex UK),    , , , ,DOWJ,501
P,HUI       ,Amex GOLD BUGS INDEX,아멕스 금광업체지수,    , , , ,AMEX,501
P,HWI       ,Amex Computer /Hardware index,아멕스컴퓨터/하드웨어,    , , , ,AMEX,501
P,INDS      ,NASDAQ INDUSTRIAL INDEX,나스닥 공업지수,    ,0,0,0,NASD,501
P,INSR      ,NASDAQ OTC Index - Insurance,나스닥 보험,    ,0,0,0,NASD,501
P,IXCO      ,NASDAQ Computer Index,나스닥 컴퓨터,    ,0,0,0,NASD,501
P,IXF       ,NASDAQ Financial 100 Index,나스닥 금융100지수,    ,0,0,0,NASD,501
P,IXHC      ,NASDAQ HealthCare,나스닥 헬스케어,    ,0,0,0,NASD,501
P,IXTC      ,NASDAQ Information Telecom,나스닥 정보통신,    ,0,0,0,NASD,501
P,JPN       ,Amex JAPAN INDEX,아멕스 일본지수,    , , , ,AMEX,501
P,MXY       ,Amex MEXICO INDEX,아멕스 멕시코지수,    , , , ,AMEX,501
P,NBI       ,NASDAQ Bio,나스닥 생명공학,    ,0,0,0,NASD,501
P,NDX       ,NASDAQ-100 (DRM),나스닥 100,    ,0,0,0,NASD,501
P,OFIN      ,NASDAQ OTC Index - Other Financial,나스닥 OTC Index - 기타금융,    ,0,0,0,NASD,501
P,OSX       ,PHLX OIL SERVICE SECTOR INDEX,필라델 원유 서버스 지수,    , , , ,PILA,501
P,SOX       ,PHLX SEMICONDUCTOR SECTOR INDEX,필라델피아 반도체지수,    ,0,0,0,PILA,501
P,SPX       ,S&P 500 INDEX,S&P500,    , , , ,SANP,501
P,SPXLTBUP  ,S&P 500 Low Volatility Target Beta Inde,S&P500 Low Volatility Tar,    , , , ,CME ,501
P,TOB       ,Amex TOBACCO INDEX,아멕스 담배지수,    , , , ,AMEX,501
P,TRAN      ,NASDAQ Transportation,나스닥 운송,    ,0,0,0,NASD,501
P,UTY       ,UTILITY SECTOR INDEX,필라델- 유틸리티 지수,    ,0,0,0,PILA,501
P,XAL       ,Amex AIRLINE INDEX,아멕스 항공지수,    , , , ,AMEX,501
P,XAU       ,GOLD AND SILVER SECTOR INDEX,필라델- 금/은 지수,    ,0,0,0,PILA,501
P,XBD       ,Amex Securities Broker/Dealer,아멕스 증권/브로커,    , , , ,AMEX,501
P,XCI       ,Amex Computer Technology Index,아멕스 컴퓨터기술지수,    , , , ,AMEX,501
P,XII       ,Amex INSTITUTIONAL I,아멕스 기관투자자지수,    , , , ,AMEX,501
P,XLY       ,AMEX Consumer Discretionary SPDR,아멕스 임의소비재 SPDR,    , , , ,AMEX,501
P,XNDXL     ,NASDAQ-100 Leveraged Total Return Index,NASDAQ-100 Leveraged Tota,    ,0,0,0,NASD,501
P,XNDXS1    ,NASDAQ-100 1x Short Total Return Index,NASDAQ-100 1x Short Total,    ,0,0,0,NASD,501
P,XNDXS2    ,NASDAQ-100 2x Short Total Return Index,NASDAQ-100 2x Short Total,    ,0,0,0,NASD,501
P,XNG       ,Amex Natural Gas Index,아멕스 천연가스 지수,    , , , ,AMEX,501
P,XOI       ,Amex Oil Index,아멕스 원유,    , , , ,AMEX,501
P,XTC       ,Amex North American Telecom Index,아멕스 북미통신 지수,    , , , ,AMEX,501
Q,A         ,"Agilent Technologies, Inc.",에이질런트 테크날러지,ITC ,0,0,1,NYSE,501
Q,AA        ,ALCOA INC,알코아,ALU ,0,0,0,NYSE,501
Q,AAL       ,American Airlines Group,아메리칸 에어라인스 그룹,    ,0,0,0,NASD,501
Q,AAP       ,Advance Auto Parts,어드밴스 오토 파츠,    ,0,0,0,NYSE,501
Q,AAPL      ,Apple,애플,CPR ,1,1,1,NASD,501
Q,AAXJ      ,ISHARES MSCI ASIA EX-JAPAN,ISHARES MSCI ASIA EX-JAPA,    ,0,0,0,NASD,501
Q,ABBV      ,ABBVIE,애브비,    ,0,0,1,NYSE,501
Q,ABNB      ,Airbnb,에어비앤비,    ,0,1,1,NASD,501
Q,ABT       ,Abbott Laboratories,애보트 래보라토리,MDS ,0,0,1,NYSE,501
Q,ABX       ,BARRICK GOLD CORP,BARRICK GOLD CORP,    ,0,0,0,NYSE,501
Q,ACGL      ,Arch Capital Group Ltd,아치 캐피털 그룹,    ,0,0,1,NASD,501
Q,ACN       ,Accenture PLC,액센추어,    ,0,0,1,NYSE,501
Q,ADBE      ,Adobe,어도비,SOF ,0,1,1,NASD,501
Q,ADI       ,Analog Devices,애널로그 디바이시스,SEM ,0,1,1,NASD,501
Q,ADM       ,Archer Daniels Midland Company,아처-대니얼스-미들랜드,FOD ,0,0,1,NYSE,501
Q,ADP       ,Automatic Data Processing,오토매틱 데이터 프로세싱,ICS ,0,1,1,NASD,501
Q,ADSK      ,Autodesk,오토데스크,SOF ,0,1,1,NASD,501
Q,AEE       ,Ameren Corp,애머런,ELC ,0,0,1,NYSE,501
Q,AEP       ,American Electric Power Company,아메리칸 일렉트릭 파워 컴퍼니,ELC ,0,1,1,NASD,501
Q,AES       ,AES Corp,AES,ELC ,0,0,1,NYSE,501
Q,AFL       ,Aflac,애플랙,INL ,0,0,1,NYSE,501
Q,AGQ       ,PROSHARES ULTRA SILVER,PROSHARES ULTRA SILVER,    , , , ,AMEX,501
Q,AIG       ,American International Group,아메리칸 인터내셔널 그룹,INF ,0,0,1,NYSE,501
Q,AIV       ,Apartment Investment and Management Com,아파트먼트 인베스트먼트 & 매니,    ,0,0,0,NYSE,501
Q,AIZ       ,Assurant,어슈런트,    ,0,0,1,NYSE,501
Q,AJG       ,Arthur J Gallagher & Co,아서 J 갤러거 앤 코,    ,0,0,1,NYSE,501
Q,AKAM      ,Akamai Technologies,아카마이 테크놀로지,    ,0,0,1,NASD,501
Q,ALB       ,Albemarle Corp,앨버말,    ,0,0,1,NYSE,501
Q,ALGN      ,Align Technology,얼라인 테크놀로지,    ,0,0,1,NASD,501
Q,ALK       ,Alaska Air Group,알래스카 에어 그룹,    ,0,0,0,NYSE,501
Q,ALL       ,Allstate Corp (The),올스테이트,INP ,0,0,1,NYSE,501
Q,ALLE      ,Allegion Public Limited,얼리지언,    ,0,0,1,NYSE,501
Q,ALNY      ,Alnylam Pharmaceuticals,앨나일램 파마수티컬스,    ,0,1,0,NASD,501
Q,AMAT      ,Applied Materials,어플라이드 머티어리얼즈,SEM ,0,1,1,NASD,501
Q,AMCR      ,Amcor plc,앰코,    ,0,0,1,NYSE,501
Q,AMD       ,"Advanced Micro Devices, Inc.",어드밴스드 마이크로 디바이스(AMD),SEM ,0,1,1,NASD,501
Q,AME       ,Ametek,아메텍,    ,0,0,1,NYSE,501
Q,AMGN      ,Amgen,암젠,BTC ,1,1,1,NASD,501
Q,AMKR      ,AMKOR TECHNOLOGY,AMKOR TECHNOLOGY,    ,0,0,0,NASD,501
Q,AMP       ,Ameriprise Financial,아메리프라이즈 파이낸셜,    ,0,0,1,NYSE,501
Q,AMT       ,American Tower Corp,아메리칸 타워,    ,0,0,1,NYSE,501
Q,AMTM      ,Amentum Holdings Inc,Amentum Holdings Inc.,    ,0,0,0,NYSE,501
Q,AMZN      ,Amazon.com,아마존 닷컴,OTS ,1,1,1,NASD,501
Q,ANET      ,Arista Networks Inc,아리스타 네트웍스,    ,0,0,1,NYSE,501
Q,ANF       ,Abercrombie & Fitch Co.,ABERCROMBIE & FITCH CO,    ,0,0,0,NYSE,501
Q,AON       ,Aon plc,에이온,    ,0,0,1,NYSE,501
Q,AOS       ,AO Smith Corp,A O 스미스,    ,0,0,1,NYSE,501
Q,APA       ,APA Corp,APA (US),OIS ,0,0,1,NASD,501
Q,APD       ,Air Products & Chemicals,에어 프로덕츠 앤 케미컬스,CHS ,0,0,1,NYSE,501
Q,APH       ,Amphenol Corp,암페놀,    ,0,0,1,NYSE,501
Q,APO       ,Apollo Global Management,아폴로 글로벌 매니지먼트,    ,0,0,1,NYSE,501
Q,APP       ,Applovin Corp,앱플로빈,    ,0,1,1,NASD,501
Q,APTV      ,Aptiv PLC,앱티브,    ,0,0,1,NYSE,501
Q,ARE       ,Alexandria Real Estate Equities,알렉산드리아 리얼에스테이트 이쿼티,    ,0,0,1,NYSE,501
Q,ARES      ,Ares Management Corp,아레스 매니지먼트,    ,0,0,1,NYSE,501
Q,ARM       ,Arm Holdings plc,암 홀딩스 ADR,    ,0,1,0,NASD,501
Q,ASML      ,ASML Holding NV,ASML 홀딩 ADR,    ,0,1,0,NASD,501
Q,ATI       ,ALLEGHENY TECH,앨러지니 테크놀러지스,STL ,0,0,0,NYSE,501
Q,ATO       ,Atmos Energy Corp,애트모스 에너지,    ,0,0,1,NYSE,501
Q,AVB       ,AvalonBay Communities,아발론베이 커뮤니티,    ,0,0,1,NYSE,501
Q,AVGO      ,Broadcom Inc.,브로드컴,    ,0,1,1,NASD,501
Q,AVY       ,Avery Dennison Corp,에이버리 데니슨,CHS ,0,0,1,NYSE,501
Q,AWK       ,American Water Works Company,아메리칸 워터 웍스,    ,0,0,1,NYSE,501
Q,AXON      ,Axon Enterprise,액손 엔터프라이스,    ,0,1,1,NASD,501
Q,AXP       ,American Express Company,아메리칸 익스프레스,FIS ,1,0,1,NYSE,501
Q,AZO       ,AutoZone,오토존,OTS ,0,0,1,NYSE,501
Q,BA        ,Boeing Company,보잉,ARO ,1,0,1,NYSE,501
Q,BAC       ,Bank of America Corp,뱅크오브아메리카,BKS ,0,0,1,NYSE,501
Q,BALL      ,Ball Corp,볼,    ,0,0,1,NYSE,501
Q,BAX       ,Baxter International,박스터 인터내셔널,MDS ,0,0,1,NYSE,501
Q,BBWI      ,Bath & Body Works,Bath & Body Works,    ,0,0,0,NYSE,501
Q,BBY       ,Best Buy Company,베스트 바이,OTS ,0,0,1,NYSE,501
Q,BDX       ,Becton Dickinson and Co,벡톤 디킨슨 앤 코,    ,0,0,1,NYSE,501
Q,BEN       ,Franklin Resources,프랭클린 리소시스,SCR ,0,0,1,NYSE,501
Q,BFb       ,Brown-Forman Corp,브라운-포멘,CYC ,0,0,1,NYSE,501
Q,BG        ,Bunge Global SA,번지 글로벌,    ,0,0,1,NYSE,501
Q,BIDU      ,Baidu,바이두,    ,0,0,0,NASD,501
Q,BIIB      ,Biogen,바이오젠,    ,0,0,1,NASD,501
Q,BIO       ,Bio-Rad Laboratories IncClass A,바이오래드 래보라토리스,    ,0,0,0,NYSE,501
Q,BK        ,Bank of New York Mellon Corp,뱅크 오브 뉴욕 멜론,BKS ,0,0,0,NYSE,501
Q,BKF       ,ISHARES MSCI BRIC INDEX FUND,ISHARES MSCI BRIC INDEX F,    , , , ,AMEX,501
Q,BKNG      ,Booking Holdings Inc.,부킹 홀딩스,    ,0,1,1,NASD,501
Q,BKR       ,Baker Hughes Company,베이커 휴즈,    ,0,1,1,NASD,501
Q,BLDR      ,Builders FirstSource,빌더스 퍼스트소스,    ,0,0,1,NYSE,501
Q,BLK       ,Blackrock,블랙록,    ,0,0,1,NYSE,501
Q,BMRN      ,BioMarin Pharmaceutical,바이오머린 파머수티컬,    ,0,0,0,NASD,501
Q,BMY       ,Bristol-Myers Squibb Co,브리스톨-마이어스 스큅,DRG ,0,0,1,NYSE,501
Q,BP        ,BP PLC-SPONS ADR,BP PLC-SPONS ADR,    ,0,0,0,NYSE,501
Q,BR        ,Broadridge Financial Solutions,브로드리지 파이낸셜 솔루션스,OIS ,0,0,1,NYSE,501
Q,BRKb      ,BERKSHRE CL B,BERKSHRE CL B,FIS ,0,0,1,NYSE,501
Q,BRO       ,Brown & Brown,브라운 & 브라운,    ,0,0,1,NYSE,501
Q,BSX       ,Boston Scientific Corp,보스턴 사이언티픽,MDS ,0,0,1,NYSE,501
Q,BTU       ,Peabody Energy Corporation,Peabody Energy Corporatio,    ,0,0,0,NYSE,501
Q,BWA       ,BorgWarner,보그워너,    ,0,0,0,NYSE,501
Q,BX        ,Blackstone,블랙스톤,    ,0,0,1,NYSE,501
Q,BXP       ,BXP Inc.,BXP,    ,0,0,1,NYSE,501
Q,BZQ       ,PROSHARES ULTRASHORT MSCI BR,PROSHARES ULTRASHORT MSCI,    , , , ,AMEX,501
Q,C         ,Citigroup,씨티그룹,FIS ,0,0,1,NYSE,501
Q,CAG       ,Conagra Brands,콘아그라 브랜즈,FOD ,0,0,1,NYSE,501
Q,CAH       ,Cardinal Health,카디널 헬스,RTD ,0,0,1,NYSE,501
Q,CARR      ,Carrier Global Corp,캐리어 글로벌,    ,0,0,1,NYSE,501
Q,CASY      ,Casey's General Stores,케이시스 제너럴 스토어스,    ,0,0,1,NASD,501
Q,CAT       ,Caterpillar,캐터필러,MAC ,1,0,1,NYSE,501
Q,CB        ,Chubb Limited,처브,INP ,0,0,1,NYSE,501
Q,CBOE      ,Cboe Global Markets,Cboe 글로벌 마켓,    , , , ,AMEX,501
Q,CBRE      ,Cbre Group,CBRE 그룹,    ,0,0,1,NYSE,501
Q,CCEP      ,Coca-Cola Europacific Partners plc,코카콜라 유로퍼시픽 파트너스,    ,0,1,0,NASD,501
Q,CCI       ,Crown Castle,크라운 캐슬,    ,0,0,1,NYSE,501
Q,CCJ       ,Cameco Corporation,카메코,    ,0,0,0,NYSE,501
Q,CCL       ,Carnival Corporation Ltd.,카니발,REQ ,0,0,1,NYSE,501
Q,CDNS      ,Cadence Design Systems,케이던스 디자인 시스템즈,    ,0,1,1,NASD,501
Q,CDW       ,CDW Corp,CDW,    ,0,0,1,NASD,501
Q,CE        ,Celanese Corp,셀라니즈 코퍼레이션,    ,0,0,0,NYSE,501
Q,CEG       ,Constellation Energy Corp,콘스텔레이션 에너지,ELC ,0,1,1,NASD,501
Q,CERN      ,Cerner Corp,Cerner Corp,    ,0,0,0,NASD,501
Q,CEW       ,WISDOMTREE DREYFUS EMER CURR,WISDOMTREE DREYFUS EMER C,    , , , ,AMEX,501
Q,CF        ,CF Industries Holding,CF 인더스트리스 홀딩스,SAL ,0,0,1,NYSE,501
Q,CFG       ,Citizens Financial Group,시티즌스 파이낸셜 그룹,    ,0,0,1,NYSE,501
Q,CHD       ,Church & Dwight Co,처치 & 드와이트,    ,0,0,1,NYSE,501
Q,CHKP      ,Check Point Software Technologies Ltd,체크 포인트 소프트웨어 테크놀,    ,0,0,0,NASD,501
Q,CHRW      ,C.H. Robinson Worldwide,CH 로빈슨 월드와이드,TRK ,0,0,1,NASD,501
Q,CHTR      ,Charter Communications,차터 커뮤니케이션,    ,0,1,1,NASD,501
Q,CI        ,Cigna Group (The),시그나,HEA ,0,0,1,NYSE,501
Q,CIEN      ,Ciena Corp,시에나,CMT ,0,0,1,NYSE,501
Q,CINF      ,Cincinnati Financial Corp,신시내티 파이낸셜,INP ,0,0,1,NASD,501
Q,CL        ,Colgate-Palmolive Company,콜게이트-팜올리브,COS ,0,0,1,NYSE,501
Q,CLF       ,CLIFFS NATRL RES,CLIFFS NATRL RES,    ,0,0,0,NYSE,501
Q,CLX       ,Clorox Company,크로락스,HPN ,0,0,1,NYSE,501
Q,CMCSA     ,Comcast Corp,컴캐스트,    ,0,1,1,NASD,501
Q,CME       ,CME Group,CME 그룹,    ,0,0,1,NASD,501
Q,CMG       ,Chipotle Mexican Grill,치폴레 멕시칸 그릴,    ,0,0,1,NYSE,501
Q,CMI       ,Cummins,커민스,    ,0,0,1,NYSE,501
Q,CMS       ,CMS Energy Corp,CMS 에너지,ELC ,0,0,1,NYSE,501
Q,CNC       ,Centene Corp,센틴,    ,0,0,1,NYSE,501
Q,CNP       ,CenterPoint Energy,센터포인트 에너지,ELC ,0,0,1,NYSE,501
Q,CNX       ,CONSOL Energy Inc.,CONSOL ENERGY INC,    ,0,0,0,NYSE,501
Q,COF       ,Capital One Financial,캐피털 원 파이낸셜,FIS ,0,0,1,NYSE,501
Q,COHR      ,Coherent Corp,Coherent Corp,    ,0,0,1,NYSE,501
Q,COIN      ,Coinbase Global,코인베이스 글로벌,    ,0,0,1,NASD,501
Q,COO       ,Cooper Companies (The),쿠퍼 컴퍼니스,    ,0,0,1,NASD,501
Q,COP       ,ConocoPhillips,코노코필립스,OIL ,0,0,1,NYSE,501
Q,COR       ,Cencora,센코라,    ,0,0,1,NYSE,501
Q,COST      ,Costco Wholesale Corp,코스트코 홀세일,RTB ,0,1,1,NASD,501
Q,CPAY      ,Corpay,콜페이,    ,0,0,1,NYSE,501
Q,CPB       ,The Campbell's Company,캠벨 수프,FOD ,0,0,1,NASD,501
Q,CPRT      ,Copart,코파트,    ,0,1,1,NASD,501
Q,CPT       ,Camden Property Trust,캠든 프로퍼티 트러스트,    ,0,0,1,NYSE,501
Q,CRH       ,CRH Public Limited,CRH PLC American Deposita,    ,0,0,1,NYSE,501
Q,CRL       ,Charles River Laboratories Internationa,찰스 리버 래보라토리스 인터내셔널,    ,0,0,1,NYSE,501
Q,CRM       ,Salesforce,세일즈포스,    ,1,0,1,NYSE,501
Q,CRWD      ,CrowdStrike Holdings,크라우드 스트라이크 홀딩스,    ,0,1,1,NASD,501
Q,CSCO      ,Cisco Systems,시스코 시스템즈,CMT ,1,1,1,NASD,501
Q,CSGP      ,CoStar Group,코스타 그룹,    ,0,0,1,NASD,501
Q,CSX       ,CSX Corp,CSX,RAI ,0,1,1,NASD,501
Q,CTAS      ,Cintas Corp,신타스,ICS ,0,1,1,NASD,501
Q,CTSH      ,Cognizant Technology Solutions Corp,코그니전트 테크놀로지 솔루션,    ,0,1,1,NASD,501
Q,CTVA      ,Corteva,코스테바,    ,0,0,1,NYSE,501
Q,CVNA      ,Carvana Co,Carvana Co. Class A,    ,0,0,1,NYSE,501
Q,CVS       ,CVS HEALTH Corp,CVS 헬스,RTD ,0,0,1,NYSE,501
Q,CVX       ,Chevron Corp,셰브론,OIL ,1,0,1,NYSE,501
Q,CZR       ,Caesars Entertainment,시저스 엔터테인먼트,    ,0,0,0,NASD,501
Q,D         ,Dominion Energy,도미니언 에너지,ELC ,0,0,1,NYSE,501
Q,DAL       ,Delta Air Lines,델타 에어라인스,AIR ,0,0,1,NYSE,501
Q,DASH      ,DoorDash,도어대시,    ,0,1,1,NASD,501
Q,DBA       ,POWERSHARES DB AGRICULTURE F,POWERSHARES DB AGRICULTUR,    , , , ,AMEX,501
Q,DBB       ,POWERSHARES DB BASE METALS F,POWERSHARES DB BASE METAL,    , , , ,AMEX,501
Q,DBC       ,POWERSHARES DB COMMODITY IND,POWERSHARES DB COMMODITY,    , , , ,AMEX,501
Q,DBE       ,POWERSHARES DB ENERGY FUND,POWERSHARES DB ENERGY FUN,    , , , ,AMEX,501
Q,DBO       ,POWERSHARES DB OIL FUND,POWERSHARES DB OIL FUND,    , , , ,AMEX,501
