구분코드,심볼,영문명,한글명,종목업종코드,다우30편입여부,나스닥100편입여부,SP500편입여부,거래소코드,국가구분코드
H,CH:516790 ,Huatai-PB All Share Health Care Exchang,Huatai-PB All Share Healt, Tra,d,e,d,SHSE,CH 
H,CH:516800 ,Hwabao WP CSI Intelligent Manufacturing,Hwabao WP CSI Intelligent,Exch,a,n,g,SHSE,CH 
H,CH:516810 ,ChinaAMC CSI Agriculture Thematic Index,ChinaAMC CSI Agriculture,Exch,a,n,g,SHSE,CH 
H,CH:516820 ,PING AN CSI Health Care Innovation Inde,PING AN CSI Health Care I, Exc,h,a,n,SHSE,CH 
H,CH:516830 ,Fullgoal CSI 300 ESG Index Exchange Tra,Fullgoal CSI 300 ESG Inde,ed F,u,n,d,SHSE,CH 
H,CH:516840 ,516840,516840,    , , , ,SHSE,CH 
H,CH:516850 ,ChinaAMC CSI New Energy Exchange Traded,ChinaAMC CSI New Energy E,Fund, , , ,SHSE,CH 
H,CH:516860 ,Bosera Fin-tech ETF,Bosera Fin-tech ETF,    , , , ,SHSE,CH 
H,CH:516880 ,Yinhua CSI Photovoltaic Industry Index,Yinhua CSI Photovoltaic I,xcha,n,g,e,SHSE,CH 
H,CH:516890 ,PING AN CSI New Materials Exchange Trad,PING AN CSI New Materials,d Fu,n,d, ,SHSE,CH 
H,CH:516900 ,Huaan CSI SWS Food & Beverage Exchange,Huaan CSI SWS Food & Beve,rade,d, ,F,SHSE,CH 
H,CH:516910 ,Fullgoal CSI Modern Logistics Exchange,Fullgoal CSI Modern Logis,rade,d, ,F,SHSE,CH 
H,CH:516920 ,China Universal CSI Chip Industry Index,China Universal CSI Chip,Exch,a,n,g,SHSE,CH 
H,CH:516930 ,Minsheng Royal CSI Biotechnology Themat,Minsheng Royal CSI Biotec,c Ex,c,h,a,SHSE,CH 
H,CH:516950 ,Yinhua CSI Construction & Engineering E,Yinhua CSI Construction &,chan,g,e, ,SHSE,CH 
H,CH:516960 ,Guotai CSI Machinery Sub-industry Index,Guotai CSI Machinery Sub-,ETF , , , ,SHSE,CH 
H,CH:516970 ,GF CSI Information Security Exchange Tr,GF CSI Information Securi,ded ,F,u,n,SHSE,CH 
H,CH:516980 ,Harfor CSI All Share Investment Banking,Harfor CSI All Share Inve,Bork,e,r,a,SHSE,CH 
H,CH:517000 ,Yinhua CSI SH-HK-SZ 500 Exchange Traded,Yinhua CSI SH-HK-SZ 500 E,Fund, , , ,SHSE,CH 
H,CH:517006 ,517006,517006,    , , , ,SHSE,CH 
H,CH:517010 ,E Fund CSI SH-SZ-HK 500 Index Exchange,E Fund CSI SH-SZ-HK 500 I,rade,d, ,F,SHSE,CH 
H,CH:517016 ,517016,517016,    , , , ,SHSE,CH 
H,CH:517030 ,E Fund CSI SSE-HKEx-SZSE 300 Exchange T,E Fund CSI SSE-HKEx-SZSE,aded, ,F,u,SHSE,CH 
H,CH:517050 ,Huatai-PB CSI SH-HK-SZ Internet ETF,Huatai-PB CSI SH-HK-SZ In,    , , , ,SHSE,CH 
H,CH:517066 ,517066,517066,    , , , ,SHSE,CH 
H,CH:517080 ,CU CSI SH-HK-SZ 500 ETF,CU CSI SH-HK-SZ 500 ETF,    , , , ,SHSE,CH 
H,CH:517086 ,517086,517086,    , , , ,SHSE,CH 
H,CH:517090 ,GT CN SOE STN PPRT ETF,GT CN SOE STN PPRT ETF,    , , , ,SHSE,CH 
H,CH:517100 ,FG CSI SH-HK-SZ 500 ETF,FG CSI SH-HK-SZ 500 ETF,    , , , ,SHSE,CH 
H,CH:517110 ,GT SHS BRAND NAME DRUG ETF,GT SHS BRAND NAME DRUG ET,    , , , ,SHSE,CH 
H,CH:517120 ,HTPB CSI SHS BN DRUG ETF,HTPB CSI SHS BN DRUG ETF,    , , , ,SHSE,CH 
H,CH:517160 ,China Southern CSI Yangtze River Protec,China Southern CSI Yangtz,ion ,E,x,c,SHSE,CH 
H,CH:517166 ,517166,517166,    , , , ,SHSE,CH 
H,CH:517170 ,CAMC CSI SHS 500 ETF,CAMC CSI SHS 500 ETF,    , , , ,SHSE,CH 
H,CH:517180 ,China Southern FTSE China SOE Sustainab,China Southern FTSE China,e Pr,o,s,p,SHSE,CH 
H,CH:517200 ,HV CSI SH-HK-SZ INT ETF,HV CSI SH-HK-SZ INT ETF,    , , , ,SHSE,CH 
H,CH:517300 ,CLA CSI SH-HK-SZ 300 ETF,CLA CSI SH-HK-SZ 300 ETF,    , , , ,SHSE,CH 
